County,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Tehama,6/7/20,0,0,0,106,0,0,1
Tulare,6/7/20,28,0,28,729,8,0,4
Monterey,6/7/20,12,1,13,811,3,0,91
Mariposa,6/7/20,0,0,0,30,0,0,
Riverside,6/7/20,217,79,296,3958,63,19,134
Calaveras,6/7/20,0,1,1,50,0,0,12
Ventura,6/7/20,39,32,71,1329,11,6,48
Tuolumne,6/7/20,0,0,0,151,0,0,3
San Luis Obispo,6/7/20,3,2,5,454,2,0,25
Colusa,6/7/20,0,0,0,88,0,1,5
Mendocino,6/7/20,1,0,1,180,1,0,2
Alameda,6/7/20,92,74,166,2968,29,11,152
Kings,6/7/20,27,1,28,199,9,1,4
Santa Cruz,6/7/20,1,3,4,397,1,0,11
Orange,6/7/20,322,77,399,6973,148,18,398
Modoc,6/7/20,0,0,0,41,0,0,
Lake,6/7/20,0,0,0,110,0,0,4
San Benito,6/7/20,0,0,0,25,0,0,2
Santa Clara,6/7/20,38,31,69,3375,15,6,216
Inyo,6/7/20,0,0,0,42,0,0,4
Fresno,6/7/20,69,31,100,2139,16,4,97
Mono,6/7/20,0,0,0,40,0,0,2
Merced,6/7/20,5,2,7,242,2,1,4
Yolo,6/7/20,0,2,2,186,1,1,2
Placer,6/7/20,10,24,34,753,3,3,46
Solano,6/7/20,13,17,30,707,4,1,46
Glenn,6/7/20,0,0,0,47,0,0,
Kern,6/7/20,83,24,107,1756,34,4,82
Humboldt,6/7/20,1,4,5,352,0,0,4
Los Angeles,6/7/20,1453,558,2011,23659,428,91,1247
Amador,6/7/20,0,1,1,51,0,0,0
Del Norte,6/7/20,0,1,1,51,0,1,1
Sonoma,6/7/20,5,66,71,871,3,9,49
Sacramento,6/7/20,33,26,59,2399,14,8,90
Shasta,6/7/20,0,0,0,667,0,0,12
Sutter,6/7/20,0,0,0,14,0,0,
Siskiyou,6/7/20,0,0,0,65,0,0,5
Marin,6/7/20,1,6,7,390,0,0,16
Nevada,6/7/20,0,1,1,127,0,0,6
Lassen,6/7/20,0,0,0,25,0,0,
Plumas,6/7/20,0,0,0,45,0,0,
El Dorado,6/7/20,2,4,6,199,2,1,9
San Francisco,6/7/20,34,14,48,2337,13,1,88
Napa,6/7/20,1,2,3,397,1,0,2
Yuba,6/7/20,5,0,5,445,2,0,10
Stanislaus,6/7/20,27,10,37,1369,9,0,73
Trinity,6/7/20,0,0,0,54,0,0,
San Bernardino,6/7/20,164,57,221,4821,72,11,158
San Joaquin,6/7/20,39,24,63,1366,15,1,18
San Diego,6/7/20,286,73,359,5907,131,16,333
Madera,6/7/20,5,6,11,528,1,1,21
Santa Barbara,6/7/20,20,3,23,717,6,1,66
Contra Costa,6/7/20,23,44,67,1628,7,5,105
San Mateo,6/7/20,37,20,57,1101,6,0,55
Butte,6/7/20,1,0,1,448,1,0,21
Imperial,6/7/20,87,1,88,237,18,0,7
Orange,6/8/20,327,64,391,6976,149,11,410
Solano,6/8/20,13,15,28,707,3,2,47
Santa Clara,6/8/20,44,17,61,3375,19,3,229
Inyo,6/8/20,1,0,1,42,0,0,4
Merced,6/8/20,5,3,8,242,2,1,5
Trinity,6/8/20,0,3,3,54,0,0,
Glenn,6/8/20,0,0,0,47,0,0,
Amador,6/8/20,0,0,0,51,0,0,3
Kings,6/8/20,24,1,25,199,8,1,2
Monterey,6/8/20,12,0,12,811,3,0,93
Sonoma,6/8/20,5,74,79,871,3,10,47
San Luis Obispo,6/8/20,3,0,3,480,2,0,26
Mendocino,6/8/20,1,0,1,180,1,0,2
Alameda,6/8/20,92,60,152,2968,31,12,144
San Joaquin,6/8/20,43,27,70,1366,18,5,18
Ventura,6/8/20,42,27,69,1327,12,10,47
Kern,6/8/20,87,26,113,1756,29,5,81
Placer,6/8/20,11,11,22,753,3,2,48
San Mateo,6/8/20,34,5,39,1101,5,0,54
San Benito,6/8/20,0,0,0,25,0,0,2
Tulare,6/8/20,34,2,36,743,8,0,10
Madera,6/8/20,5,4,9,528,1,1,20
Imperial,6/8/20,85,2,87,237,18,1,6
Lake,6/8/20,0,0,0,110,0,0,4
Colusa,6/8/20,0,1,1,88,0,1,5
Contra Costa,6/8/20,20,35,55,1628,7,6,116
Santa Cruz,6/8/20,1,1,2,397,0,0,17
Sacramento,6/8/20,37,24,61,2425,13,10,103
Marin,6/8/20,2,0,2,390,2,0,16
Yolo,6/8/20,0,1,1,186,0,1,8
Yuba,6/8/20,5,0,5,445,2,0,17
Tuolumne,6/8/20,0,0,0,151,0,0,5
Siskiyou,6/8/20,0,0,0,65,0,0,6
Fresno,6/8/20,70,37,107,2132,15,2,97
Humboldt,6/8/20,1,6,7,352,0,0,3
El Dorado,6/8/20,1,5,6,235,1,2,11
Lassen,6/8/20,0,0,0,25,0,0,
Nevada,6/8/20,0,2,2,120,0,1,4
Sutter,6/8/20,0,0,0,14,0,0,
Tehama,6/8/20,0,0,0,106,0,0,5
Modoc,6/8/20,0,0,0,41,0,0,
Riverside,6/8/20,220,108,328,3987,71,18,128
San Diego,6/8/20,291,80,371,6122,143,23,332
San Francisco,6/8/20,32,11,43,2647,13,2,106
Butte,6/8/20,4,0,4,448,2,0,19
Stanislaus,6/8/20,26,13,39,1369,10,2,78
Mono,6/8/20,0,0,0,40,0,0,2
Del Norte,6/8/20,0,0,0,51,0,0,1
San Bernardino,6/8/20,197,54,251,4821,74,12,156
Plumas,6/8/20,0,0,0,45,0,0,
Shasta,6/8/20,1,0,1,667,0,0,9
Santa Barbara,6/8/20,22,6,28,717,8,2,66
Mariposa,6/8/20,0,0,0,30,0,0,
Los Angeles,6/8/20,1458,595,2053,23736,426,95,1301
Napa,6/8/20,1,6,7,397,1,1,3
Calaveras,6/8/20,0,0,0,50,0,0,10
Santa Clara,6/9/20,41,18,59,3375,18,3,213
Marin,6/9/20,6,4,10,390,3,1,11
Imperial,6/9/20,83,2,85,212,18,0,2
Lake,6/9/20,0,1,1,110,0,1,1
Mendocino,6/9/20,1,0,1,180,1,0,1
Napa,6/9/20,0,6,6,397,0,0,1
Madera,6/9/20,6,5,11,528,1,0,20
Santa Cruz,6/9/20,1,3,4,397,0,0,11
Shasta,6/9/20,1,0,1,667,0,0,9
Mono,6/9/20,0,0,0,40,0,0,2
Sutter,6/9/20,0,0,0,14,0,0,
Lassen,6/9/20,0,0,0,25,0,0,
Humboldt,6/9/20,1,8,9,352,0,1,4
Mariposa,6/9/20,0,0,0,30,0,0,
Kern,6/9/20,83,22,105,1742,30,4,75
Ventura,6/9/20,42,45,87,1350,10,11,41
Orange,6/9/20,315,69,384,6976,146,19,390
Sonoma,6/9/20,5,70,75,871,3,4,49
Plumas,6/9/20,0,0,0,45,0,0,
Contra Costa,6/9/20,21,40,61,1628,10,4,106
San Benito,6/9/20,0,0,0,25,0,0,2
Monterey,6/9/20,13,0,13,811,3,0,92
Colusa,6/9/20,0,0,0,88,0,0,6
San Bernardino,6/9/20,205,71,276,4821,76,18,136
Sacramento,6/9/20,33,19,52,2413,13,7,87
Butte,6/9/20,6,0,6,448,2,1,16
Merced,6/9/20,4,0,4,242,2,0,4
Kings,6/9/20,30,0,30,199,8,0,0
Tehama,6/9/20,0,0,0,106,0,0,5
Glenn,6/9/20,1,0,1,47,0,0,
Placer,6/9/20,10,12,22,753,2,2,49
Tuolumne,6/9/20,0,0,0,151,0,0,3
Solano,6/9/20,17,25,42,707,5,2,44
Inyo,6/9/20,1,0,1,42,0,0,4
Los Angeles,6/9/20,1416,695,2111,23627,410,97,1258
Yolo,6/9/20,0,1,1,186,1,1,2
San Luis Obispo,6/9/20,3,2,5,453,2,0,24
Alameda,6/9/20,94,52,146,2968,32,9,137
Nevada,6/9/20,0,3,3,125,0,2,7
San Francisco,6/9/20,37,12,49,2647,13,0,100
Riverside,6/9/20,227,106,333,3987,73,18,134
San Mateo,6/9/20,31,13,44,1101,6,3,47
Del Norte,6/9/20,0,0,0,51,0,0,1
Calaveras,6/9/20,0,0,0,50,0,0,9
Modoc,6/9/20,0,0,0,41,0,0,
El Dorado,6/9/20,0,3,3,235,0,0,13
Yuba,6/9/20,4,0,4,445,2,0,14
Fresno,6/9/20,68,36,104,2132,15,1,92
Amador,6/9/20,0,0,0,51,0,0,0
Tulare,6/9/20,36,8,44,743,6,1,12
Santa Barbara,6/9/20,25,7,32,717,7,2,64
San Diego,6/9/20,299,74,373,6182,141,12,330
Stanislaus,6/9/20,29,13,42,1369,13,4,78
San Joaquin,6/9/20,45,31,76,1366,18,7,17
Siskiyou,6/9/20,0,1,1,65,0,1,5
Trinity,6/9/20,0,2,2,54,0,0,
Tulare,6/10/20,38,5,43,780,5,3,10
Riverside,6/10/20,232,101,333,3987,71,15,127
San Bernardino,6/10/20,171,76,247,4821,75,17,132
Trinity,6/10/20,0,1,1,54,0,0,
Yolo,6/10/20,0,0,0,186,0,0,3
Solano,6/10/20,18,15,33,707,4,1,46
Glenn,6/10/20,1,0,1,47,0,0,
Tuolumne,6/10/20,0,1,1,151,0,1,3
El Dorado,6/10/20,0,1,1,235,0,0,9
San Joaquin,6/10/20,45,38,83,1366,17,4,17
Placer,6/10/20,11,12,23,753,2,2,45
Los Angeles,6/10/20,1389,564,1953,23634,403,109,1258
Ventura,6/10/20,44,56,100,1347,10,7,56
Humboldt,6/10/20,1,14,15,352,0,1,5
Tehama,6/10/20,0,0,0,106,0,0,7
Kings,6/10/20,30,1,31,199,9,1,2
Stanislaus,6/10/20,26,15,41,1369,11,4,83
Monterey,6/10/20,16,0,16,811,3,0,87
Plumas,6/10/20,0,0,0,45,0,0,
Marin,6/10/20,8,3,11,390,3,0,10
San Benito,6/10/20,0,0,0,25,0,0,1
Butte,6/10/20,7,23,30,448,3,6,17
Orange,6/10/20,312,72,384,6976,143,10,392
Del Norte,6/10/20,0,0,0,51,0,0,1
Mariposa,6/10/20,0,0,0,30,0,0,
San Luis Obispo,6/10/20,3,2,5,456,2,0,23
Santa Cruz,6/10/20,3,3,6,397,0,0,10
Santa Clara,6/10/20,40,22,62,3375,16,5,220
San Diego,6/10/20,286,76,362,6186,135,16,330
Yuba,6/10/20,5,1,6,445,2,0,10
Inyo,6/10/20,1,0,1,42,0,0,4
San Francisco,6/10/20,39,11,50,2647,14,0,95
Alameda,6/10/20,88,46,134,2968,32,11,147
Napa,6/10/20,1,5,6,397,0,1,0
Imperial,6/10/20,79,0,79,212,16,0,2
Contra Costa,6/10/20,20,23,43,1628,10,6,111
Sutter,6/10/20,0,0,0,14,0,0,
Santa Barbara,6/10/20,26,5,31,717,6,0,68
Sonoma,6/10/20,5,57,62,871,3,4,47
Modoc,6/10/20,0,0,0,41,0,0,
Shasta,6/10/20,1,0,1,667,0,5,4
Mendocino,6/10/20,1,0,1,180,1,0,3
Siskiyou,6/10/20,0,0,0,65,0,0,4
Mono,6/10/20,0,0,0,40,0,0,2
Sacramento,6/10/20,36,26,62,2471,13,5,97
San Mateo,6/10/20,29,11,40,1049,7,2,50
Kern,6/10/20,89,23,112,1742,32,10,77
Fresno,6/10/20,67,35,102,2144,19,4,84
Calaveras,6/10/20,0,0,0,50,0,0,9
Colusa,6/10/20,0,0,0,88,0,0,6
Madera,6/10/20,6,5,11,528,3,0,14
Nevada,6/10/20,0,2,2,130,0,2,4
Amador,6/10/20,0,0,0,51,0,0,3
Merced,6/10/20,3,4,7,242,3,0,5
Lake,6/10/20,0,2,2,110,0,0,1
Lassen,6/10/20,0,0,0,25,0,0,
Butte,6/11/20,5,37,42,448,3,7,15
Nevada,6/11/20,0,2,2,127,0,2,4
San Bernardino,6/11/20,194,77,271,4821,73,16,133
Placer,6/11/20,10,8,18,753,2,2,48
San Benito,6/11/20,0,0,0,25,0,0,1
Santa Cruz,6/11/20,4,2,6,397,0,0,11
Santa Barbara,6/11/20,30,7,37,717,8,0,64
Madera,6/11/20,7,4,11,528,3,1,5
Merced,6/11/20,4,1,5,242,3,0,3
Fresno,6/11/20,67,32,99,2142,17,1,79
Yolo,6/11/20,0,1,1,186,0,0,2
Orange,6/11/20,325,67,392,6976,156,16,368
Monterey,6/11/20,17,0,17,811,5,0,85
Lake,6/11/20,0,0,0,110,0,0,2
Colusa,6/11/20,0,0,0,88,0,0,6
Contra Costa,6/11/20,22,29,51,1628,11,4,112
Marin,6/11/20,8,2,10,390,3,0,13
Tulare,6/11/20,35,6,41,780,7,0,11
Amador,6/11/20,0,0,0,51,0,0,2
Kern,6/11/20,90,19,109,1742,29,2,83
San Francisco,6/11/20,38,13,51,2647,14,1,86
Riverside,6/11/20,238,68,306,4018,71,12,131
Sutter,6/11/20,0,0,0,14,0,0,
Solano,6/11/20,19,12,31,707,6,2,43
Mono,6/11/20,0,1,1,40,0,0,2
Kings,6/11/20,29,2,31,199,8,0,5
San Joaquin,6/11/20,42,25,67,1366,15,2,17
Ventura,6/11/20,43,47,90,1360,11,10,46
Los Angeles,6/11/20,1397,576,1973,23666,415,97,1220
Sonoma,6/11/20,4,23,27,871,3,1,49
Mendocino,6/11/20,0,0,0,180,0,0,3
Napa,6/11/20,0,3,3,397,0,0,3
Alameda,6/11/20,86,38,124,2968,32,7,145
Shasta,6/11/20,2,0,2,667,0,0,8
Siskiyou,6/11/20,0,0,0,65,0,0,4
San Mateo,6/11/20,26,7,33,1089,7,0,50
Plumas,6/11/20,0,0,0,45,0,0,
San Diego,6/11/20,277,75,352,6187,133,16,325
Mariposa,6/11/20,0,0,0,30,0,0,
Inyo,6/11/20,1,0,1,42,0,0,2
Lassen,6/11/20,0,0,0,25,0,0,
Calaveras,6/11/20,0,0,0,50,0,0,8
San Luis Obispo,6/11/20,2,3,5,481,2,1,24
Santa Clara,6/11/20,39,18,57,3375,18,2,215
Yuba,6/11/20,5,1,6,445,2,0,6
Glenn,6/11/20,1,0,1,47,0,0,
Imperial,6/11/20,86,1,87,237,18,0,0
Sacramento,6/11/20,39,23,62,2501,13,5,105
El Dorado,6/11/20,0,1,1,235,0,1,10
Tuolumne,6/11/20,0,0,0,151,0,0,0
Tehama,6/11/20,0,0,0,106,0,0,7
Humboldt,6/11/20,1,8,9,352,0,0,2
Del Norte,6/11/20,0,1,1,51,0,0,3
Modoc,6/11/20,0,0,0,41,0,0,
Trinity,6/11/20,0,0,0,54,0,0,
Stanislaus,6/11/20,29,18,47,1369,13,1,82
Yolo,6/12/20,0,0,0,186,0,0,4
Mono,6/12/20,0,0,0,40,0,0,2
Trinity,6/12/20,0,0,0,54,0,0,
San Benito,6/12/20,0,0,0,25,0,0,1
Glenn,6/12/20,1,0,1,47,0,0,
Orange,6/12/20,311,117,428,6976,150,27,384
Yuba,6/12/20,6,0,6,445,2,0,9
Shasta,6/12/20,1,0,1,667,0,0,7
Los Angeles,6/12/20,1383,487,1870,23655,414,78,1228
Nevada,6/12/20,0,0,0,136,0,0,6
Tuolumne,6/12/20,0,0,0,151,0,0,2
Mariposa,6/12/20,0,0,0,30,0,0,
Merced,6/12/20,5,1,6,242,3,0,3
Tehama,6/12/20,0,1,1,106,0,1,6
Marin,6/12/20,8,3,11,390,3,1,12
Humboldt,6/12/20,1,13,14,352,0,2,0
Fresno,6/12/20,69,33,102,2140,19,1,87
Placer,6/12/20,7,8,15,753,1,1,46
Del Norte,6/12/20,0,0,0,51,0,0,4
San Diego,6/12/20,275,41,316,6210,131,13,328
Santa Barbara,6/12/20,30,4,34,717,9,0,58
San Francisco,6/12/20,41,11,52,2647,15,1,91
El Dorado,6/12/20,0,3,3,235,0,3,14
Alameda,6/12/20,84,42,126,2968,35,6,120
Kern,6/12/20,96,15,111,1742,36,1,72
Stanislaus,6/12/20,34,34,68,1369,13,3,84
San Joaquin,6/12/20,49,19,68,1366,16,1,16
Monterey,6/12/20,15,0,15,811,2,0,87
Lassen,6/12/20,0,0,0,25,0,0,
Sonoma,6/12/20,4,38,42,871,3,3,42
Solano,6/12/20,18,9,27,707,6,2,46
Tulare,6/12/20,12,13,25,780,8,0,25
Sutter,6/12/20,0,0,0,14,0,0,
Colusa,6/12/20,0,0,0,88,0,0,6
Modoc,6/12/20,0,0,0,41,0,0,
San Luis Obispo,6/12/20,2,3,5,471,2,0,24
Ventura,6/12/20,46,63,109,1361,12,11,42
Contra Costa,6/12/20,22,20,42,1628,10,3,111
Imperial,6/12/20,81,1,82,237,16,0,2
Calaveras,6/12/20,0,0,0,50,0,0,10
Mendocino,6/12/20,0,0,0,180,0,0,5
Inyo,6/12/20,1,0,1,42,0,0,3
San Bernardino,6/12/20,205,78,283,4821,77,16,138
Riverside,6/12/20,236,83,319,4018,74,14,139
Plumas,6/12/20,0,0,0,45,0,0,
Kings,6/12/20,34,0,34,199,10,0,5
Lake,6/12/20,0,2,2,110,0,2,0
Amador,6/12/20,0,0,0,51,0,0,0
Madera,6/12/20,5,4,9,528,2,0,14
Santa Clara,6/12/20,43,17,60,3375,17,3,223
Santa Cruz,6/12/20,4,6,10,397,0,0,15
Napa,6/12/20,0,8,8,397,0,1,1
Sacramento,6/12/20,35,32,67,2474,13,8,91
Butte,6/12/20,5,0,5,448,3,0,20
Siskiyou,6/12/20,0,1,1,65,0,1,5
San Mateo,6/12/20,22,10,32,1089,7,1,51
Merced,6/13/20,3,1,4,242,2,0,5
Imperial,6/13/20,78,8,86,237,18,0,0
Kings,6/13/20,33,1,34,199,10,0,6
Solano,6/13/20,17,5,22,707,6,1,49
Sonoma,6/13/20,5,6,11,871,2,0,47
Yuba,6/13/20,6,0,6,445,2,0,14
Ventura,6/13/20,44,50,94,1354,13,8,51
Santa Clara,6/13/20,35,14,49,3423,12,3,211
Stanislaus,6/13/20,41,21,62,1369,19,1,86
Madera,6/13/20,6,2,8,528,2,0,8
Tuolumne,6/13/20,0,0,0,151,0,0,0
Nevada,6/13/20,0,0,0,128,0,0,4
Mendocino,6/13/20,0,0,0,180,0,0,5
Contra Costa,6/13/20,23,24,47,1628,8,6,108
Modoc,6/13/20,0,0,0,41,0,0,
Siskiyou,6/13/20,0,1,1,65,0,1,3
Glenn,6/13/20,1,0,1,47,0,0,
Trinity,6/13/20,0,1,1,54,0,0,
Colusa,6/13/20,0,0,0,88,0,0,6
Napa,6/13/20,0,5,5,397,0,0,3
San Bernardino,6/13/20,204,81,285,4821,83,18,129
Lake,6/13/20,0,1,1,110,0,1,0
Monterey,6/13/20,15,3,18,811,2,0,91
Calaveras,6/13/20,0,0,0,50,0,0,12
Shasta,6/13/20,1,0,1,667,0,0,6
Sutter,6/13/20,0,0,0,14,0,0,
Mono,6/13/20,0,0,0,40,0,0,2
San Diego,6/13/20,284,58,342,6195,118,18,324
Tehama,6/13/20,0,0,0,106,0,0,6
Kern,6/13/20,79,28,107,1742,33,4,78
Lassen,6/13/20,0,0,0,25,0,0,
Plumas,6/13/20,0,0,0,45,0,0,
Placer,6/13/20,7,6,13,753,2,2,50
Riverside,6/13/20,235,101,336,3992,68,17,137
Sacramento,6/13/20,28,23,51,2444,11,5,84
San Francisco,6/13/20,41,9,50,2647,14,0,94
Tulare,6/13/20,9,27,36,780,7,1,6
Santa Cruz,6/13/20,4,5,9,397,0,0,10
San Luis Obispo,6/13/20,2,6,8,449,2,1,23
Del Norte,6/13/20,0,0,0,51,0,0,2
Mariposa,6/13/20,0,0,0,30,0,0,
San Benito,6/13/20,0,0,0,25,0,0,0
Marin,6/13/20,10,2,12,390,3,0,12
San Joaquin,6/13/20,50,21,71,1366,17,3,10
Santa Barbara,6/13/20,36,6,42,717,7,3,58
Orange,6/13/20,336,70,406,6976,150,14,402
Yolo,6/13/20,0,0,0,186,1,1,2
Humboldt,6/13/20,1,13,14,352,0,2,0
Alameda,6/13/20,87,27,114,2968,33,3,150
San Mateo,6/13/20,18,9,27,1089,8,0,55
Fresno,6/13/20,64,34,98,2140,21,3,83
Butte,6/13/20,3,0,3,448,3,1,20
Los Angeles,6/13/20,1285,483,1768,23688,399,84,1262
El Dorado,6/13/20,0,3,3,235,0,3,11
Amador,6/13/20,0,0,0,51,0,0,3
Inyo,6/13/20,1,0,1,42,0,0,2
Modoc,6/14/20,0,0,0,41,0,0,
Butte,6/14/20,3,0,3,448,3,0,19
San Luis Obispo,6/14/20,2,10,12,449,2,4,20
San Francisco,6/14/20,40,9,49,2647,13,2,96
Riverside,6/14/20,228,92,320,3992,70,19,120
San Diego,6/14/20,282,84,366,6145,111,21,323
Sutter,6/14/20,0,0,0,14,0,0,
Solano,6/14/20,14,7,21,707,6,1,49
Del Norte,6/14/20,0,0,0,51,0,0,0
Santa Clara,6/14/20,38,16,54,3423,12,3,204
Alameda,6/14/20,88,36,124,2968,33,9,149
Santa Barbara,6/14/20,37,4,41,717,8,2,59
Mono,6/14/20,0,0,0,40,0,0,2
Santa Cruz,6/14/20,3,6,9,397,0,0,12
Imperial,6/14/20,79,11,90,237,20,0,0
Merced,6/14/20,3,1,4,242,2,0,5
Nevada,6/14/20,0,1,1,128,0,1,4
Sacramento,6/14/20,30,21,51,2441,12,5,90
Marin,6/14/20,9,2,11,390,3,0,12
Orange,6/14/20,321,100,421,6976,143,21,414
Trinity,6/14/20,0,0,0,54,0,0,
Shasta,6/14/20,0,0,0,667,0,0,7
Monterey,6/14/20,11,4,15,811,1,0,95
Tehama,6/14/20,0,0,0,106,0,0,6
Ventura,6/14/20,42,47,89,1354,12,7,55
Yolo,6/14/20,0,0,0,186,1,1,2
Calaveras,6/14/20,0,0,0,50,0,0,10
Yuba,6/14/20,7,0,7,445,3,0,13
Lassen,6/14/20,0,0,0,25,0,0,
Siskiyou,6/14/20,0,1,1,65,0,1,3
Mendocino,6/14/20,0,0,0,180,0,0,4
Glenn,6/14/20,1,0,1,47,0,0,
San Mateo,6/14/20,18,11,29,1089,9,1,51
Plumas,6/14/20,0,0,0,45,0,0,
San Joaquin,6/14/20,49,25,74,1366,16,2,10
Placer,6/14/20,7,6,13,753,2,2,49
Mariposa,6/14/20,0,0,0,30,0,0,
Tuolumne,6/14/20,0,0,0,151,0,0,0
Stanislaus,6/14/20,44,12,56,1369,16,1,87
El Dorado,6/14/20,0,4,4,235,0,4,10
Amador,6/14/20,0,0,0,51,0,0,1
Fresno,6/14/20,58,35,93,2135,21,3,79
Los Angeles,6/14/20,1288,509,1797,23703,397,80,1283
Napa,6/14/20,2,1,3,397,0,1,2
Kern,6/14/20,81,22,103,1742,32,3,76
Sonoma,6/14/20,5,29,34,871,2,0,52
Kings,6/14/20,38,2,40,199,9,0,3
Colusa,6/14/20,0,0,0,88,0,0,6
Tulare,6/14/20,38,2,40,780,6,1,23
Inyo,6/14/20,0,0,0,42,0,0,3
Lake,6/14/20,0,1,1,110,0,1,0
Contra Costa,6/14/20,26,16,42,1628,9,3,121
Humboldt,6/14/20,0,4,4,352,0,0,3
Madera,6/14/20,5,0,5,528,2,0,8
San Bernardino,6/14/20,206,89,295,4821,77,18,140
San Benito,6/14/20,0,0,0,25,0,0,0
Mendocino,6/15/20,0,1,1,180,0,1,5
Stanislaus,6/15/20,43,18,61,1364,15,1,88
Plumas,6/15/20,0,0,0,45,0,0,
San Benito,6/15/20,0,0,0,25,0,0,0
Merced,6/15/20,3,0,3,242,2,0,5
Amador,6/15/20,1,0,1,51,0,0,0
San Mateo,6/15/20,17,5,22,1089,6,1,50
Lassen,6/15/20,0,0,0,25,0,0,
Imperial,6/15/20,79,3,82,237,19,0,2
Nevada,6/15/20,0,2,2,131,0,2,5
Los Angeles,6/15/20,1420,536,1956,23659,404,88,1333
Calaveras,6/15/20,0,0,0,50,0,0,9
Sacramento,6/15/20,33,15,48,2428,15,5,104
San Diego,6/15/20,294,66,360,6129,120,13,356
Sonoma,6/15/20,6,30,36,871,3,0,46
Santa Barbara,6/15/20,42,7,49,717,9,0,63
Inyo,6/15/20,0,0,0,42,0,0,2
Butte,6/15/20,3,2,5,448,3,1,14
Alameda,6/15/20,98,31,129,2968,37,9,148
Tuolumne,6/15/20,0,0,0,151,0,0,2
San Francisco,6/15/20,37,8,45,2647,10,0,94
Santa Cruz,6/15/20,2,3,5,397,0,0,8
Siskiyou,6/15/20,0,0,0,65,0,0,0
Santa Clara,6/15/20,38,16,54,3423,12,3,239
Ventura,6/15/20,44,39,83,1350,13,7,55
San Bernardino,6/15/20,221,74,295,4821,77,18,149
Napa,6/15/20,5,1,6,397,1,1,5
Tehama,6/15/20,0,0,0,106,0,0,7
El Dorado,6/15/20,0,2,2,235,0,2,6
Mariposa,6/15/20,0,0,0,30,0,0,
Marin,6/15/20,6,3,9,390,1,0,15
Humboldt,6/15/20,0,5,5,352,0,1,2
San Joaquin,6/15/20,46,13,59,1376,18,2,16
Madera,6/15/20,5,2,7,528,2,0,7
Kings,6/15/20,38,1,39,199,10,0,2
Placer,6/15/20,7,6,13,753,3,2,48
Colusa,6/15/20,0,0,0,88,0,0,6
Sutter,6/15/20,0,0,0,14,0,0,
Monterey,6/15/20,14,2,16,811,1,0,93
Yuba,6/15/20,6,0,6,445,2,0,16
Mono,6/15/20,0,0,0,40,0,0,2
Lake,6/15/20,0,0,0,110,0,0,0
Trinity,6/15/20,0,0,0,54,0,0,
Orange,6/15/20,346,79,425,6976,138,21,417
Fresno,6/15/20,61,25,86,2111,22,2,86
San Luis Obispo,6/15/20,3,1,4,447,2,0,26
Contra Costa,6/15/20,27,6,33,1628,7,2,115
Solano,6/15/20,16,7,23,707,6,1,44
Del Norte,6/15/20,0,0,0,51,0,0,0
Glenn,6/15/20,1,0,1,47,0,0,
Tulare,6/15/20,46,3,49,780,8,1,12
Kern,6/15/20,90,17,107,1742,38,3,78
Yolo,6/15/20,0,0,0,186,0,0,3
Modoc,6/15/20,0,0,0,41,0,0,
Shasta,6/15/20,0,0,0,667,0,0,9
Riverside,6/15/20,237,98,335,4071,65,16,136
Butte,6/16/20,3,0,3,448,3,0,10
Shasta,6/16/20,0,0,0,667,0,0,9
Kings,6/16/20,47,0,47,199,10,0,2
San Benito,6/16/20,0,0,0,25,0,0,0
Calaveras,6/16/20,0,0,0,50,0,0,9
Contra Costa,6/16/20,26,14,40,1628,9,4,108
Mendocino,6/16/20,0,0,0,180,0,0,4
Sonoma,6/16/20,5,13,18,871,3,0,51
Tulare,6/16/20,49,4,53,780,11,0,24
Napa,6/16/20,4,6,10,397,1,0,6
Mono,6/16/20,0,0,0,40,0,0,2
Inyo,6/16/20,0,0,0,42,0,0,2
Solano,6/16/20,17,8,25,707,5,2,45
Santa Cruz,6/16/20,3,1,4,397,0,0,7
San Diego,6/16/20,289,54,343,6168,130,12,320
Ventura,6/16/20,47,45,92,1347,13,9,58
Monterey,6/16/20,13,4,17,824,2,0,93
Placer,6/16/20,8,10,18,753,3,2,51
Sacramento,6/16/20,36,21,57,2457,13,8,87
Los Angeles,6/16/20,1429,518,1947,23667,412,87,1175
Tehama,6/16/20,0,0,0,106,0,0,4
Santa Clara,6/16/20,32,16,48,3423,12,3,228
Glenn,6/16/20,1,0,1,47,0,0,
Fresno,6/16/20,67,36,103,2129,21,3,86
Mariposa,6/16/20,0,0,0,30,0,0,
San Joaquin,6/16/20,47,14,61,1376,18,2,20
Lake,6/16/20,0,2,2,110,0,1,0
Colusa,6/16/20,0,1,1,88,0,0,6
Madera,6/16/20,5,3,8,528,3,0,11
Marin,6/16/20,6,3,9,390,1,0,14
Alameda,6/16/20,95,38,133,2968,36,12,142
Stanislaus,6/16/20,50,14,64,1369,16,3,89
El Dorado,6/16/20,0,1,1,235,0,1,7
Nevada,6/16/20,0,1,1,134,0,0,7
Amador,6/16/20,1,0,1,51,0,0,3
Imperial,6/16/20,83,2,85,237,21,0,0
Lassen,6/16/20,0,0,0,25,0,0,
Santa Barbara,6/16/20,42,8,50,717,13,1,57
